时间,成交价,手数,买卖盘性质
10:04:42,45.31,264,卖盘
10:04:45,45.34,98,买盘
10:04:48,45.37,131,买盘
10:04:51,45.35,101,卖盘
10:04:54,45.4,71,买盘
10:04:57,45.42,114,买盘
10:05:00,45.34,23,卖盘
10:05:03,45.34,14,卖盘
10:05:06,45.32,750,卖盘
10:05:09,45.33,58,买盘
10:05:12,45.32,26,卖盘
10:05:15,45.31,143,卖盘
10:05:18,45.29,50,卖盘
10:05:21,45.28,124,卖盘
10:05:24,45.27,7,卖盘
10:05:27,45.25,116,卖盘
10:05:30,45.26,58,卖盘
10:05:33,45.26,55,买盘
10:05:36,45.26,156,买盘
10:05:39,45.25,41,卖盘
10:05:42,45.24,25,卖盘
10:05:45,45.23,9,卖盘
10:05:48,45.22,62,卖盘
10:05:51,45.21,5,卖盘
10:05:54,45.22,368,买盘
10:05:57,45.23,762,买盘
10:06:00,45.25,127,买盘
10:06:03,45.25,141,买盘
10:06:06,45.25,64,买盘
10:06:09,45.25,22,卖盘
10:06:12,45.22,93,卖盘
10:06:15,45.23,23,买盘
10:06:18,45.22,63,卖盘
10:06:21,45.22,45,卖盘
10:06:24,45.22,33,买盘
10:06:27,45.21,146,卖盘
10:06:30,45.2,121,卖盘
10:06:33,45.2,37,买盘
10:06:36,45.19,36,卖盘
10:06:39,45.18,105,卖盘
10:06:42,45.18,83,卖盘
10:06:45,45.18,62,买盘
10:06:48,45.18,356,买盘
10:06:51,45.17,179,卖盘
10:06:54,45.17,77,买盘
10:06:57,45.17,104,买盘
10:07:00,45.18,154,买盘
10:07:03,45.17,45,卖盘
10:07:06,45.2,56,买盘
10:07:09,45.18,278,卖盘
10:07:12,45.2,51,买盘
10:07:15,45.18,192,卖盘
10:07:18,45.2,75,买盘
10:07:21,45.19,45,卖盘
10:07:24,45.19,15,买盘
10:07:27,45.19,46,买盘
10:07:30,45.19,25,买盘
10:07:33,45.18,217,卖盘
10:07:36,45.22,48,买盘
10:07:39,45.18,238,卖盘
10:07:42,45.17,253,卖盘
10:07:45,45.18,49,买盘
10:07:48,45.18,42,卖盘
10:07:51,45.2,112,买盘
10:07:54,45.19,109,卖盘
10:07:57,45.21,123,买盘
10:08:00,45.23,67,买盘
10:08:03,45.23,22,买盘
10:08:06,45.21,61,卖盘
10:08:09,45.22,11,买盘
10:08:12,45.21,35,卖盘
10:08:15,45.21,76,卖盘
10:08:18,45.22,316,买盘
10:08:21,45.22,84,买盘
10:08:24,45.22,175,买盘
